,Exporter,Importer,Exporter_region,Import_region,Weight
11285,Kazakhstan,France,Central and Southern Asia,Europe,0.009000000000000001
11286,Syria,Georgia,Northern Africa and Western Asia,Northern Africa and Western Asia,0.009000000000000001
11287,Qatar,Ireland,Northern Africa and Western Asia,Europe,0.009000000000000001
11288,Czech Republic,Turkey,Europe,Northern Africa and Western Asia,0.009000000000000001
11289,Kuwait,Ghana,Northern Africa and Western Asia,Sub-Saharan Africa,0.009000000000000001
11290,Ireland,Bermuda,Europe,Northern America,0.009000000000000001
11291,Hungary,Mexico,Europe,Latin America and the Caribbean,0.009000000000000001
11292,Ukraine,Sierra Leone,Europe,Sub-Saharan Africa,0.009000000000000001
11293,North Macedonia,Kuwait,Europe,Northern Africa and Western Asia,0.009000000000000001
11294,South Africa,Ecuador,Sub-Saharan Africa,Latin America and the Caribbean,0.009
11295,Australia,Trinidad and Tobago,Australia and New Zealand,Latin America and the Caribbean,0.009
11296,Niger,Netherlands,Sub-Saharan Africa,Europe,0.009
11297,Austria,"Congo, Republic",Europe,Sub-Saharan Africa,0.009
11298,Rwanda,Spain,Sub-Saharan Africa,Europe,0.009
11299,Maldives,Switzerland,Central and Southern Asia,Europe,0.009
11300,Denmark,Andorra,Europe,Europe,0.009
11301,Trinidad and Tobago,Chile,Latin America and the Caribbean,Latin America and the Caribbean,0.009
11302,Ukraine,Iran,Europe,Central and Southern Asia,0.009
11303,Armenia,Saudi Arabia,Northern Africa and Western Asia,Northern Africa and Western Asia,0.009
11304,Philippines,Seychelles,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,0.009
11305,Barbados,Netherlands,Latin America and the Caribbean,Europe,0.009
11306,Norway,Canada,Europe,Northern America,0.009
11307,Ukraine,Tonga,Europe,Oceania (excl. Australia and New Zealand),0.009
11308,Turkey,Fiji,Northern Africa and Western Asia,Oceania (excl. Australia and New Zealand),0.009
11309,Portugal,Ukraine,Europe,Europe,0.009
11310,Nepal,Iran,Central and Southern Asia,Central and Southern Asia,0.009
11311,Honduras,Kiribati,Latin America and the Caribbean,Oceania (excl. Australia and New Zealand),0.009
11312,Mongolia,Malta,Eastern and South-Eastern Asia (excl. China),Europe,0.008885
11313,Slovenia,Cyprus,Europe,Northern Africa and Western Asia,0.00885
11314,Russian Federation,Bahrain,Europe,Northern Africa and Western Asia,0.00866
11315,Ukraine,Gibraltar,Europe,Europe,0.0086
11316,Panama,France,Latin America and the Caribbean,Europe,0.008599
11317,"Korea, Democratic People’s Republic",Bolivia,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,0.008556
11318,Canada,Zambia,Northern America,Sub-Saharan Africa,0.00837
11319,Canada,Namibia,Northern America,Sub-Saharan Africa,0.008243
11320,Dominica,China,Latin America and the Caribbean,China,0.008228798
11321,Mexico,South Africa,Latin America and the Caribbean,Sub-Saharan Africa,0.0082
11322,Gambia,Canada,Sub-Saharan Africa,Northern America,0.008175
11323,Uruguay,Zambia,Latin America and the Caribbean,Sub-Saharan Africa,0.00816
11324,Fiji,Dominican Republic,Oceania (excl. Australia and New Zealand),Latin America and the Caribbean,0.00815
11325,Denmark,New Caledonia,Europe,Oceania (excl. Australia and New Zealand),0.008
11326,France,Saint Vincent and the Grenadines,Europe,Latin America and the Caribbean,0.008
11327,Belgium,Zambia,Europe,Sub-Saharan Africa,0.008
11328,Paraguay,Luxembourg,Latin America and the Caribbean,Europe,0.008
11329,Netherlands,Botswana,Europe,Sub-Saharan Africa,0.008
11330,Mauritius,Ethiopia,Sub-Saharan Africa,Sub-Saharan Africa,0.008
11331,Venezuela,Bermuda,Latin America and the Caribbean,Northern America,0.008
11332,Turkey,Palau,Northern Africa and Western Asia,Oceania (excl. Australia and New Zealand),0.008
11333,Benin,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,0.008
11334,Rwanda,New Zealand,Sub-Saharan Africa,Australia and New Zealand,0.008
11335,French Polynesia,Croatia,Oceania (excl. Australia and New Zealand),Europe,0.008
11336,Rwanda,Uruguay,Sub-Saharan Africa,Latin America and the Caribbean,0.008
11337,Morocco,North Macedonia,Northern Africa and Western Asia,Europe,0.008
11338,Ukraine,Chile,Europe,Latin America and the Caribbean,0.008
11339,Sao Tome and Principe,Italy,Sub-Saharan Africa,Europe,0.008
11340,Afghanistan,Lebanon,Central and Southern Asia,Northern Africa and Western Asia,0.008
11341,Bahrain,Morocco,Northern Africa and Western Asia,Northern Africa and Western Asia,0.008
11342,Israel,Dominican Republic,Northern Africa and Western Asia,Latin America and the Caribbean,0.008
11343,Luxembourg,Nigeria,Europe,Sub-Saharan Africa,0.008
11344,Chile,Montenegro,Latin America and the Caribbean,Europe,0.008
11345,Italy,Namibia,Europe,Sub-Saharan Africa,0.008
11346,Kyrgyzstan,France,Central and Southern Asia,Europe,0.008
11347,Bangladesh,Uruguay,Central and Southern Asia,Latin America and the Caribbean,0.008
11348,Zambia,Ireland,Sub-Saharan Africa,Europe,0.008
11349,Dominican Republic,Bermuda,Latin America and the Caribbean,Northern America,0.008
